benchmark,geometry,mesh_strategy,kappa,num_nodes,num_triangles,energy,normalized_energy,exact_energy_constant,exact_constant_ratio,boundary_error_l2_sq,boundary_rate_ratio,iterations,residual_inf,accepted_step,solver,certified,solution_min,solution_max,max_bv_exponent_argument,exponential_clamp_active
corrugated_six_junction_mixed,corrugated_top,graded,1.0,57330,112884,0.03489602002019042,0.03489602002019042,0.15278874536821957,nan,0.0005245888866545559,nan,10.0,1.7355709216422318e-13,1.0,Newton,True,-0.042810210571372305,0.055147459694402386,15.150656156653612,False
corrugated_six_junction_mixed,corrugated_top,graded,0.1,57330,112884,0.09871633492706434,0.04287195953253729,0.15278874536821957,0.28059631898420423,0.0003546410355478817,0.001540186447949,2.0,7.495959668951668e-10,-1.0,L-BFGS-B,True,-0.07331866839460331,0.08677666761854969,17.02879852318948,False
corrugated_six_junction_mixed,corrugated_top,graded,0.01,57330,112884,0.22101432233231366,0.047992650305255236,0.15278874536821957,0.314111161719362,0.00020519354804642484,0.004455721281935604,7.0,4.1183011977401985e-13,1.0,Newton,True,-0.10630034922618965,0.12039436892907396,19.02501762700841,False
corrugated_six_junction_mixed,corrugated_top,graded,0.003,57330,112884,0.3154939501944944,0.054309895748914865,0.15278874536821957,0.3554574364625384,0.00014105164286950508,0.008093657596005121,6.0,6.84067557446815e-13,1.0,Newton,True,-0.12412991399355054,0.13844927086112804,20.097117703733783,False
corrugated_six_junction_mixed,corrugated_top,graded,0.001,57330,112884,0.42308689763856994,0.06124810166999896,0.15278874536821957,0.40086788802664464,9.247369230824405e-05,0.013386938096896525,6.0,5.657311002407697e-13,1.0,Newton,True,-0.14064006134008902,0.15508424411014615,21.084902415260476,False
corrugated_six_junction_mixed,corrugated_top,graded,0.0003,57330,112884,0.5657776746399001,0.0697481065476209,0.15278874536821957,0.4565002898579248,5.106893453053181e-05,0.02098563709485407,7.0,6.55892580415629e-13,1.0,Newton,True,-0.15886940228952942,0.1730430077539894,22.15129380043189,False
corrugated_six_junction_mixed,corrugated_top,graded,0.0001,57330,112884,0.7173559988013953,0.07788593795991045,0.15278874536821957,0.5097622719016771,2.4865738550390546e-05,0.026997632602208946,10.0,7.637909858370512e-13,1.0,Newton,True,-0.1750951748789845,0.1871085501876859,22.986505710144787,False
corrugated_six_junction_mixed,corrugated_top,graded,5e-05,57330,112884,0.8216225014871767,0.0829629458439388,0.15278874536821957,0.542991210798929,1.4175042082528369e-05,0.02862636421226856,5.0,1.4486353089315784e-11,1.0,Newton,True,-0.1841713398408733,0.1930066568595115,23.336735284317793,False
corrugated_six_junction_mixed,corrugated_top,graded,3e-05,57330,112884,0.9020019603383339,0.08661175682625417,0.15278874536821957,0.5668726228330534,8.934443445523597e-06,0.02859668001872019,5.0,6.707898125846157e-13,1.0,Newton,True,-0.18951502171827886,0.19571833983657083,23.497755019495575,False
corrugated_six_junction_mixed,corrugated_top,graded,1e-05,57330,112884,1.0867132199249048,0.09439071096494021,0.15278874536821957,0.6177857586136951,3.0795088350821002e-06,0.026748273880969342,7.0,6.022860880419588e-13,1.0,Newton,True,-0.19626350100903397,0.1985623382718712,23.66663164658371,False
corrugated_six_junction_mixed,corrugated_top,graded,5e-06,57330,112884,1.217155907086453,0.09971724259171698,0.15278874536821957,0.6526478265882691,1.5454959670109987e-06,0.025323394541272935,5.0,1.2316633823949985e-11,1.0,Newton,True,-0.19812662575376033,0.19928218690852922,23.709376258628463,False
corrugated_six_junction_mixed,corrugated_top,graded,3e-06,57330,112884,1.325673425293828,0.1042450287185634,0.15278874536821957,0.6822821174906161,9.27871797816913e-07,0.024321229337743413,5.0,6.676209629771642e-13,1.0,Newton,True,-0.19887835827906333,0.1995698550070219,23.72645799031696,False
corrugated_six_junction_mixed,corrugated_top,graded,1e-06,57330,112884,1.624996754217276,0.11762118724454297,0.15278874536821957,0.7698288703207616,3.084508188012881e-07,0.022326414757323203,6.0,6.751266212745577e-13,1.0,Newton,True,-0.19962818641112628,0.19985688952806677,23.743502100176602,False
corrugated_six_junction_mixed,corrugated_top,graded,4e-07,57330,112884,2.0039777761852635,0.13603073627985665,0.15278874536821957,0.8903190869983502,1.2182412997938826e-07,0.020673665016005042,7.0,7.095556133803113e-13,1.0,Newton,True,-0.19985169070943135,0.19994279832249548,23.74860336438978,False
corrugated_six_junction_mixed,corrugated_top,graded,3e-07,57330,112884,2.1628576178663894,0.14400346308160838,0.15278874536821957,0.942500461893062,9.060227314716098e-08,0.020107720743275444,5.0,8.215963675252624e-13,1.0,Newton,True,-0.19988882849687642,0.1999571045069521,23.749452865622814,False
corrugated_six_junction_mixed,corrugated_top,graded,2.5e-07,57330,112884,2.2765404499176523,0.14975461545751784,0.15278874536821957,0.9801416661718799,7.498283355595084e-08,0.019729981789680325,4.0,7.605860385950791e-13,1.0,Newton-unconstrained,True,-0.20674145307767075,0.20674235130608234,24.15236082055517,False
corrugated_six_junction_mixed,corrugated_top,graded,2e-07,57330,112884,2.4312836343711015,0.15762021111687446,0.15278874536821957,1.0316218693792603,5.938162559450352e-08,0.01924856530589431,5.0,7.560921000341006e-13,1.0,Newton-unconstrained,True,-0.22329039690471436,0.22329133231009715,25.135039312573568,False
corrugated_six_junction_mixed,corrugated_top,graded,1.8e-07,57330,112884,2.510877686393646,0.1616759646345751,0.15278874536821957,1.058166714079217,5.315948309272528e-08,0.019016393163292004,4.0,4.44073944283474e-12,1.0,Newton-unconstrained,True,-0.23165380043825387,0.231654752819744,25.631659222436394,False
corrugated_six_junction_mixed,corrugated_top,graded,1.6e-07,57330,112884,2.60520200555737,0.1664868791634475,0.15278874536821957,1.089654076039538,4.696121728156036e-08,0.018756766486450513,5.0,5.876150260819557e-13,1.0,Newton-unconstrained,True,-0.24141404241530956,0.24141500867397211,26.21122321506046,False
corrugated_six_junction_mixed,corrugated_top,graded,1.5e-07,57330,112884,2.659397962529503,0.1692522429822949,0.15278874536821957,1.107753339909942,4.3876429436637156e-08,0.01861620361911227,5.0,7.551181901988002e-13,1.0,Newton-unconstrained,True,-0.24693139922672364,0.2469323679699906,26.53884401005804,False
