benchmark,mesh_strategy,physics_variant,kappa,num_nodes,num_triangles,energy,normalized_energy,boundary_error_l2_sq,bulk_error_l2_K,boundary_hhalf_norm,boundary_rate_ratio,iterations,residual_inf,accepted_step,solver,certified,solution_min,solution_max,max_bv_exponent_argument,exponential_clamp_active,exact_energy_constant,exact_constant_ratio
single_junction_mixed,graded,asymmetric,1.0,9730,19044,0.004165509254586038,0.004165509254586038,0.0008108232550901321,0.0008660728065419447,0.12236854111475502,nan,8.0,7.218372340828116e-11,1.0,Newton,True,-0.14273423686023468,-0.06881866804068636,28.491497110191307,False,0.02546479089470326,nan
single_junction_mixed,graded,asymmetric,0.1,9730,19044,0.013839675342526427,0.006010494632591725,0.0005695914205836456,0.0007549819006467416,0.2698034979194767,0.002473704108989116,10.0,8.707994741952163e-11,3.6700033884852317e-06,Newton,True,-0.1632018543513104,-0.020719125330319926,30.192970152224433,False,0.02546479089470326,0.236031572277388
single_junction_mixed,graded,asymmetric,0.01,9730,19044,0.03391395653104841,0.007364322090470537,0.00034214996586120436,0.0006207323175890268,0.47210596661528303,0.007429692107845353,7.0,2.7582931087092866e-12,1.0,Newton,True,-0.1843838711008344,0.03347684414402317,31.95383120461236,False,0.02546479089470326,0.28919625222614076
single_junction_mixed,graded,asymmetric,0.003,9730,19044,0.04958838359814617,0.008536264932852953,0.00024226807823382986,0.000541160080860935,0.5958943849491958,0.013901538697290326,5.0,6.735964702686559e-09,-1.0,L-BFGS-B,False,-0.19276471617608099,0.06317406075762222,32.65053085571761,False,0.02546479089470326,0.3352183400268375
single_junction_mixed,graded,asymmetric,0.001,9730,19044,0.06723769174456888,0.009733652833526032,0.0001652788706018039,0.0004592340460757156,0.716771550565643,0.023926567159188342,4.0,1.2599810456183991e-08,-1.0,L-BFGS-B,False,-0.1970238523610739,0.09090899116136812,33.00459284677607,False,0.02546479089470326,0.38223965292998563
single_junction_mixed,graded,asymmetric,0.0003,9730,19044,0.09035058419261156,0.011138265886714162,9.738150387567496e-05,0.0003586471642299731,0.8558526917820981,0.04001675223641597,6.0,4.26420971970376e-08,-1.0,L-BFGS-B,False,-0.19897610842157618,0.12185631408030985,33.166883893085625,False,0.02546479089470326,0.43739867854288755
single_junction_mixed,graded,asymmetric,0.0001,9730,19044,0.11477941247228078,0.012462016368202208,5.1262935436013546e-05,0.0002595790941509822,0.987710239350849,0.05565802496505839,6.0,2.7457771829284046e-12,1.0,Newton,True,-0.19962424053924088,0.15040279989357036,33.22076311602709,False,0.02546479089470326,0.4893822383907475
single_junction_mixed,graded,asymmetric,5e-05,9730,19044,0.13155676413886944,0.013283882414249092,3.0354296274356798e-05,0.00019536610334555882,1.07294172813909,0.06130021593571557,5.0,2.7176563083264327e-11,1.0,Newton,True,-0.1998016517801589,0.16814160293141744,33.23551131248461,False,0.02546479089470326,0.5216568425469448
single_junction_mixed,graded,asymmetric,3e-05,9730,19044,0.144353257313388,0.013861044398190882,1.924509074800934e-05,0.00014931309211295887,1.136290124769296,0.061598207589281216,5.0,3.3955080957205626e-12,1.0,Newton,True,-0.19987654959546555,0.1799632842585577,33.241737567871056,False,0.02546479089470326,0.5443219406554802
single_junction_mixed,graded,asymmetric,1e-05,9730,19044,0.17239106565699897,0.014973697708851166,6.547363285016646e-06,7.125726881896004e-05,1.2697715387252748,0.05686967491397353,6.0,3.1368989080796416e-12,1.0,Newton,True,-0.1999562931928851,0.19439643040240956,33.248366653124535,False,0.02546479089470326,0.5880157339900142
single_junction_mixed,graded,asymmetric,5e-06,9730,19044,0.1903499301852669,0.015594690914359948,3.284637420400017e-06,4.1862544687062333e-05,1.3499823316837312,0.053819725898532,5.0,1.6610039732523063e-11,1.0,Newton,True,-0.19997763602585086,0.19743582361604842,33.25014088282899,False,0.02546479089470326,0.6124020801444587
single_junction_mixed,graded,asymmetric,3e-06,9730,19044,0.20380726854877754,0.01602649201345365,1.9745624685161534e-06,2.7786353779714807e-05,1.4068889192406469,0.05175692024638747,2.0,9.12137407202418e-08,-1.0,L-BFGS-B,False,-0.19998642805415662,0.19851949724503654,33.25087176414204,False,0.02546479089470326,0.6293588696535184
single_junction_mixed,graded,asymmetric,1e-06,9730,19044,0.23404261886096406,0.016940569650250436,6.598832100967303e-07,1.1130790499236062e-05,1.5230726960528644,0.04776393947426903,6.0,3.0116812885377218e-12,1.0,Newton,True,-0.19999541261084694,0.19952611934651937,33.2516186503397,False,0.02546479089470326,0.6652546145106621
single_junction_mixed,graded,asymmetric,4e-07,9730,19044,0.26216399622345615,0.017795786887533523,2.6426918174047495e-07,5.0673716225239015e-06,1.614285671598149,0.0448467191046692,1.0,4.862756551593517e-10,-1.0,L-BFGS-B,True,-0.19999815538622517,0.19981290606261506,33.2518466572569,False,0.02546479089470326,0.698838916884061
single_junction_mixed,graded,asymmetric,3e-07,9730,19044,0.2720073717192424,0.01811030147695879,1.9825479303517877e-07,3.944883470268117e-06,1.6421228469673144,0.04399947016662859,1.0,5.635420984029249e-10,-1.0,L-BFGS-B,True,-0.19999861517256748,0.19985999840801782,33.25188487929554,False,0.02546479089470326,0.7111898759288763
single_junction_mixed,graded,asymmetric,2.5e-07,9730,19044,0.27860768862270874,0.01832727693229032,1.6523467190289065e-07,3.3635872403904353e-06,1.6596309656187695,0.04347764565652518,4.0,3.274167395539429e-11,1.0,Newton,True,-0.1999992603282124,0.19992557688981122,33.2519385110843,False,0.02546479089470326,0.7197104821348618
single_junction_mixed,graded,asymmetric,2e-07,9730,19044,0.28714700916012453,0.01861575159950654,1.322028854503872e-07,2.7654274706479782e-06,1.680962754014597,0.042853590630819414,6.0,6.004976377260718e-11,0.5,Newton,True,-0.1999992603282124,0.19992557688981122,33.2519385110843,False,0.02546479089470326,0.7310388558257772
single_junction_mixed,graded,asymmetric,1.8e-07,9730,19044,0.2913812896890081,0.018762105116557768,1.1898591049567031e-07,2.5205569290449965e-06,1.691012548844127,0.04256404922017726,4.0,2.7780933209579426e-12,1.0,Newton,True,-0.1999992603282124,0.19992557688981122,33.2519385110843,False,0.02546479089470326,0.7367861450007167
single_junction_mixed,graded,asymmetric,1.6e-07,9730,19044,0.2962877768702526,0.018934434719526005,1.0576578629688908e-07,2.271960435821646e-06,1.7022410038905542,0.04224388273268926,5.0,3.931105126334595e-12,1.0,Newton,True,-0.1999992603282124,0.19992557688981122,33.2519385110843,False,0.02546479089470326,0.74355351268423
single_junction_mixed,graded,asymmetric,1.5e-07,9730,19044,0.2990598340972436,0.01903308508920088,9.915431594654405e-08,2.1461235887449876e-06,1.7083941022292903,0.0420698985554493,4.0,2.1324119614375884e-12,1.0,Newton,True,-0.2,0.19995355307182575,33.252,False,0.02546479089470326,0.7474275036422864
