x_m,phi_limit,phi_kappa_1e_minus_2,phi_kappa_1e_minus_4
0.0,0.2,0.03347684414402317,0.15040279989357036
0.001415235886249611,0.2,0.0328607493673012,0.14969120220775495
0.002724793123940348,0.2,0.03115304986109517,0.1477219150113326
0.003834587393169786,0.2,0.02877688901249842,0.14500251496704414
0.004775091011160836,0.2,0.025970345261015614,0.1418047054555876
0.00557212797556003,0.2,0.02288422884109448,0.13830024975026758
0.006247583030135618,0.2,0.019614746844978177,0.134596291012554
0.006820002567911541,0.2,0.01622431808303747,0.13076025834548988
0.007305103871111475,0.2,0.0127542716564493,0.1268351639902863
0.007716206670433453,0.2,0.009232654263374966,0.12284897741066164
0.00806459887324869,0.2,0.005679051637926332,0.11882033886584753
0.008359846502753126,0.2,0.002107584326997671,0.11476203595977634
0.008610056358265361,0.2,-0.0014712132056370118,0.11068312508541556
0.00882209860869946,0.2,-0.005049198204989791,0.10659023560360406
0.009001795431101236,0.2,-0.008619847556117404,0.10248838100928309
0.009154080873814608,0.2,-0.012177748616317227,0.098381471285424
0.009283136333741192,0.2,-0.015718255827258363,0.09427264260130093
0.009392505367577282,0.2,-0.019237253563344135,0.09016447396750465
0.009485190989472272,0.2,-0.02273098838596681,0.08605913289593968
0.009563738126671417,0.2,-0.0261959476654868,0.08195847566799398
0.009630303497179167,0.2,-0.029628769989147836,0.07786411803689035
0.009686714828117938,0.2,-0.03302617801473642,0.07377748628347487
0.009734521040777913,0.2,-0.03638492773986132,0.06969985497205029
0.009775034780320267,0.2,-0.03970177027697328,0.0656323755262778
0.00980936845789853,0.2,-0.04297342362312741,0.061576098370763506
0.009838464794829263,0.2,-0.046196552847263164,0.05753199048635911
0.009863122707482427,0.2,-0.049367757758579614,0.05350094965163473
0.009884019243629175,0.2,-0.052483567558819784,0.049483816249675835
0.009901728172567098,0.2,-0.05554044227694613,0.04548138325075801
0.009916735739463643,0.2,-0.05853478097056102,0.04149440479241753
0.009929454016494612,0.2,-0.06146293677011338,0.037523603640033154
0.009940232217368315,0.2,-0.06432123884801186,0.0335696777093156
0.009949366285905353,0.2,-0.06710602132063052,0.029633305755388927
0.009957107021953689,0.2,-0.06981365893809052,0.025715152274100185
0.009963666967757363,0.2,-0.07244060919192893,0.021815871614622957
0.009969226243862171,0.2,-0.07498346018134756,0.017936111264918127
0.009973937494798451,0.2,-0.0774389832424282,0.014076514239792856
0.00997793008033767,0.2,-0.07980418898340805,0.010237720472748096
0.009981313627404806,0.2,-0.08207638501292898,0.006420367085086276
0.009984181040173564,0.2,-0.08425323333379492,0.002625087377086102
0.009986611050994545,0.2,-0.08633280513962596,-0.0011474916462128307
0.009988670382198767,0.2,-0.08831363063352263,-0.004896753439585871
0.009990415578134548,0.2,-0.09019474151608685,-0.008622098043016807
0.009991894557741143,0.2,-0.09197570398245815,-0.012322950494749367
0.009993147930289104,0.2,-0.09365664042590398,-0.015998771929349155
0.009994210110414495,0.2,-0.09523823855193222,-0.019649073848184345
0.009995110263063132,0.2,-0.09672174722590804,-0.02327343616523913
0.00999587310429079,0.2,-0.09810895906004494,-0.02687152978237605
0.009996519579907449,0.2,-0.09940218043303915,-0.030443144647997904
0.009997067440599533,0.2,-0.100604190269591,-0.03398822452264278
0.009997531729321638,0.2,-0.10171818943516012,-0.03750691004434979
0.009997925194340371,0.2,-0.10274774298556424,-0.04099959220283889
0.009998258639271502,0.2,-0.10369671773117728,-0.044466979067067
0.00999854121972161,0.2,-0.10456921763038919,-0.04791017967977689
0.009998780694679332,0.2,-0.10536951943411912,-0.05133081062109138
0.009998983639558756,0.2,-0.10610201079378548,-0.05473113315464593
0.009999155626744707,0.2,-0.10677113276291682,-0.05811423262529432
0.00999930137859721,0.2,-0.1073813283169243,-0.06148425778085431
0.00999942489711628,0.2,-0.10793699824565191,-0.06484674759304311
0.009999529573827355,0.2,-0.10844246561041368,-0.06820909007418963
0.009999618282904538,0.2,-0.10890195000522236,-0.07158118773520536
0.009999693460088593,0.2,-0.10931955330409757,-0.0749764608039898
0.009999757169566604,0.2,-0.10969925979810274,-0.07841343181013617
0.009999811160649665,0.2,-0.11004495655388248,-0.0819183773448447
0.0099998569158048,0.2,-0.11036048703601707,-0.08553011285926654
0.00999989569136,0.2,-0.11064977108104687,-0.08930960488097656
0.009999928552,0.2,-0.11091709077775885,-0.09336273849232099
0.009999956400000001,0.2,-0.11116788725572424,-0.09790692769794893
0.00999998,0.2,-0.1114112468953523,-0.10349575632311124
0.01,0.0,-0.11166738458330566,-0.11176216163506215
0.01000002,-0.2,-0.11192197689990652,-0.11889739070337015
0.0100000436,-0.2,-0.11216088726253691,-0.12269895596948173
0.010000071448000001,-0.2,-0.11240414288401891,-0.1254765721268831
0.01000010430864,-0.2,-0.11266027149006713,-0.1278104723578085
0.0100001430841952,-0.2,-0.11293392896606134,-0.12989534619659132
0.010000188839350336,-0.2,-0.11322841481171574,-0.13182077382528903
0.010000242830433397,-0.2,-0.11354646245190361,-0.1336372920098506
0.010000306539911408,-0.2,-0.11389050887602908,-0.13537667760841862
0.010000381717095462,-0.2,-0.11426279634680027,-0.13706027457530606
0.010000470426172645,-0.2,-0.1146654088722924,-0.1387030912215397
0.01000057510288372,-0.2,-0.11510027865933674,-0.1403160397116404
0.010000698621402791,-0.2,-0.115569177492864,-0.14190725241005264
0.010000844373255293,-0.2,-0.11607370067994033,-0.1434828999624976
0.010001016360441244,-0.2,-0.11661524812868267,-0.14504772283878054
0.010001219305320668,-0.2,-0.11719500565567016,-0.14660538940454657
0.01000145878027839,-0.2,-0.11781392877489869,-0.14815874433910495
0.010001741360728499,-0.2,-0.11847273062903742,-0.14970998508577815
0.010002074805659629,-0.2,-0.11917187521780569,-0.15126078943834992
0.010002468270678362,-0.2,-0.1199115765980593,-0.15281240887204386
0.010002932559400468,-0.2,-0.1206918042652085,-0.15436573709207743
0.010003480420092551,-0.2,-0.1215122944897742,-0.1559213600643967
0.01000412689570921,-0.2,-0.12237256700114206,-0.15747959173102907
0.010004889736936869,-0.2,-0.1232719461072434,-0.15904049825284042
0.010005789889585505,-0.2,-0.12420958513236291,-0.16060391270891694
0.010006852069710897,-0.2,-0.12518449295322615,-0.1621694415619018
0.010008105442258858,-0.2,-0.12619556141319152,-0.16373646378385706
0.010009584421865452,-0.2,-0.12724159248180877,-0.16530412327656668
0.010011329617801233,-0.2,-0.12832132418216882,-0.16687131508973446
0.010013388949005456,-0.2,-0.12943345450692678,-0.16843666593406972
0.010015818959826436,-0.2,-0.13057666276134286,-0.16999850961096072
0.010018686372595195,-0.2,-0.13174962798635187,-0.17155485825363126
0.01002206991966233,-0.2,-0.13295104431033072,-0.1731033707184882
0.01002606250520155,-0.2,-0.1341796332420964,-0.17464132010007055
0.01003077375613783,-0.2,-0.1354341530453175,-0.1761655631767916
0.010036333032242637,-0.2,-0.1367134054226686,-0.17767251560759253
0.010042892978046312,-0.2,-0.13801623979087554,-0.17915813782366846
0.010050633714094648,-0.2,-0.1393415554468479,-0.18061793764948778
0.010059767782631686,-0.2,-0.14068830191940912,-0.18204699651067074
0.010070545983505388,-0.2,-0.14205547777258046,-0.18344002629932638
0.010083264260536358,-0.2,-0.14344212808407608,-0.1847914631579506
0.010098271827432902,-0.2,-0.1448473407672221,-0.18609560219484955
0.010115980756370825,-0.2,-0.14627024184266504,-0.1873467731845246
0.010136877292517573,-0.2,-0.14770998969725185,-0.18853955169608297
0.010161535205170737,-0.2,-0.14916576829331998,-0.18966899340663923
0.01019063154210147,-0.2,-0.15063677921100146,-0.19073087277861056
0.010224965219679734,-0.2,-0.15212223231988056,-0.1917219024596278
0.010265478959222087,-0.2,-0.15362133477413284,-0.19263990840409237
0.010313285171882063,-0.2,-0.15513327791389145,-0.19348393897480526
0.010369696502820833,-0.2,-0.15665722151108238,-0.19425429412772283
0.010436261873328584,-0.2,-0.15819227462819385,-0.19495247180457004
0.010514809010527728,-0.2,-0.15973747212509876,-0.19558104032468576
0.010607494632422719,-0.2,-0.16129174553070968,-0.19614345508920167
0.010716863666258809,-0.2,-0.16285388654678878,-0.19664384324883233
0.010845919126185393,-0.2,-0.16442250075118775,-0.1970867804218989
0.010998204568898764,-0.2,-0.16599594798656248,-0.19747707988015706
0.011177901391300541,-0.2,-0.1675722641164319,-0.19781960845284788
0.011389943641734639,-0.2,-0.1691490558497969,-0.19811913662537078
0.011640153497246874,-0.2,-0.17072335517625,-0.19838022427235621
0.01193540112675131,-0.2,-0.17229141113261026,-0.19860713890281556
0.012283793329566547,-0.2,-0.17384838135311664,-0.19880380029726988
0.012694896128888526,-0.2,-0.17538785967949938,-0.19897374323794392
0.01317999743208846,-0.2,-0.17690113160625967,-0.19912008962773753
0.013752416969864383,-0.2,-0.1783759748516966,-0.1992455144784599
0.01442787202443997,-0.2,-0.1797946998717246,-0.19935220785250254
0.015224908988839166,-0.2,-0.18113092699581257,-0.19944173964919598
0.016165412606830215,-0.2,-0.1823442821158862,-0.1995150791438983
0.017275206876059653,-0.2,-0.183371527996197,-0.19957155622050898
0.018584764113750388,-0.2,-0.18411585780059792,-0.19961105905887236
