diagnostic,slope,slope_ci_low,slope_ci_high,predicted_slope,bootstrap_samples
boundary_L2_sq_vs_kappa_log_kappa,1.0645972215895292,1.0508246983062786,1.0781126931698717,1.0,1000
interior_EK_sq_vs_kappa_log_kappa,1.6803066749514386,1.6150713321598387,1.8123286008069153,1.0,1000
interior_C0_vs_kappa_log_kappa,0.8052592533223021,0.7729180642457136,0.8788458752015079,0.5,1000
interior_C1_vs_kappa_log_kappa,0.7393987517780287,0.7012153530282876,0.8372502845677604,0.5,1000
energy_remainder_vs_loglog_over_log,1.6614128214532689,1.658267051748973,1.6640112046713,1.0,887
