benchmark,mesh_strategy,kappa,num_nodes,num_triangles,boundary_error_to_reference,boundary_hquarter_to_reference,bulk_error_to_reference,boundary_l2_to_phi0_sq,energy,energy_minus_reference,normalized_energy,exact_constant_ratio,h_min,reference_h_min,mesh_family,iterations,residual_inf,initial_residual_inf,certified_threshold,certified,solver,boundary_efficiency,bulk_efficiency,reference_nodes
single_junction_mixed,uniform_refined,0.001,1225,2304,0.0013268899928152447,0.030897087130794976,1.0112581349066679e-05,0.00016210610846398304,0.1217023044426718,0.044928185438467674,0.017618213084787324,0.6918656099568427,nan,5e-05,local_point,239.0,0.12431667243655492,0.1282507252096695,1e-09,False,L-BFGS-B,0.04644114974853356,0.00035394034721733373,386
single_junction_mixed,uniform_matched,0.001,325,576,0.002652231903925574,0.05133413377086806,4.196137370253039e-05,0.00015200320107269972,0.16826584585788082,0.0914917268536767,0.02435897611628693,0.9565747551987028,nan,5e-05,local_point,175.0,0.3020929271574837,0.31093538006338445,1e-09,False,L-BFGS-B,0.04781379062012569,0.0007564694223668977,386
single_junction_mixed,graded_proposed,0.001,318,560,0.0008680162023406222,0.021671151516671604,2.460682064937713e-06,0.00016500512474379686,0.1045497079617636,0.02777558895755948,0.01513512041746347,0.5943547889337514,0.00025,5e-05,local_point,6.0,4.31946145518225e-15,0.2612285512104745,1e-09,True,Newton,0.015478946235232417,4.388024703048683e-05,386
single_junction_mixed,uniform_refined,0.0001,1891,3600,0.002116647236528433,0.05908287481124662,2.3733108657511643e-05,4.857066222787004e-05,0.46169955605794377,0.337162546314002,0.05012839237328652,1.968537365202294,nan,5e-06,local_point,1127.0,1.3257284610027975,1.3363821275466203,1.3363821275466204e-09,False,L-BFGS-B,0.0920437381667076,0.0010320491773285997,726
single_junction_mixed,uniform_matched,0.0001,435,784,0.002964115851812785,0.07392869570676255,3.3622430240706354e-05,5.5426240141807536e-05,0.8475060955609084,0.7229690858169666,0.09201680517036814,3.6134914891253973,nan,5e-06,local_point,719.0,2.9423390353811105,2.957307166251388,2.9573071662513883e-09,False,L-BFGS-B,0.061821537594846404,0.0007012513812119423,726
single_junction_mixed,graded_proposed,0.0001,452,814,0.0002398763104254826,0.012595051532768771,1.8258571548511143e-06,5.1366219816069314e-05,0.153770585999756,0.029233576255814214,0.016695429244680867,0.6556279732952198,2.5e-05,5e-06,local_point,6.0,7.931155732165962e-15,0.27903194511203,1e-09,True,Newton,0.005099840313687362,3.881825557858435e-05,726
single_junction_mixed,uniform_refined,1e-05,3655,7056,0.0016641300434035397,0.06448026470643638,4.438301154989434e-06,1.1550902499977122e-05,2.6270955875192303,2.445020326166158,0.22818662341839663,8.960867747233692,nan,5.000000000000001e-07,local_point,2903.0,10.00860307785703,10.054749498332079,1.0054749498332079e-08,False,L-BFGS-B,0.10060763772678726,0.0002683245798569354,1763
single_junction_mixed,uniform_matched,1e-05,861,1600,0.0026419614090886436,0.08281788758439732,2.8058174658371367e-06,2.016173641319346e-05,5.355105063991698,5.173029802638625,0.46513851586075095,18.26594680412243,nan,5.000000000000001e-07,local_point,1597.0,21.113597306461106,21.191962050270877,2.119196205027088e-08,False,L-BFGS-B,0.07752254920347275,8.233054495158396e-05,1763
single_junction_mixed,graded_proposed,1e-05,930,1712,4.720265661382874e-06,0.0071526231918074305,1.913652277905824e-06,6.576366000054497e-06,0.21139098935192976,0.029315727998857427,0.01836118803992243,0.7210421682175133,2.5e-06,5.000000000000001e-07,local_point,6.0,6.647460359943125e-15,0.27880047304935296,1e-09,True,Newton,0.00014394875602119034,5.835855111192153e-05,1763
single_junction_mixed,uniform_refined,1e-06,9453,18496,0.0014994988311820905,0.06981230453864783,4.777681678089381e-06,5.4815595640951045e-06,15.558300965571561,15.317338622159912,1.1261473761896275,44.22370404870942,nan,5e-08,local_point,4000.0,62.26809050795768,62.36560872793464,6.236560872793465e-08,False,L-BFGS-B,0.14579108247010397,0.00046451745680730673,5044
single_junction_mixed,uniform_matched,1e-06,2415,4624,0.0024722648879113383,0.08859829635559914,1.1994557068659978e-05,1.0855684835640181e-05,30.950498909737284,30.709536566325635,2.2402718147752525,87.97526844177757,nan,5e-08,local_point,4000.0,124.62469901863373,124.65480739017065,1.2465480739017065e-07,False,L-BFGS-B,0.12149364686080592,0.0005894443139475675,5044
single_junction_mixed,graded_proposed,1e-06,2390,4462,3.4096691134132596e-06,0.004034657778634266,1.4864694583185162e-06,6.628224691704272e-07,0.27028881384772196,0.02932647043607206,0.01956415672904015,0.768282638170398,2.5e-07,5e-08,local_point,6.0,4.390932062392494e-14,0.2787835157614231,1e-09,True,Newton,0.00016669062924017303,7.266996330484725e-05,5044
