benchmark,kappa,h_min,h_min_over_kappa,num_nodes,num_triangles,continuation_levels,energy,normalized_energy,exact_energy_constant,exact_constant_ratio,boundary_error_l2_sq,iterations,residual_inf,solver,certified,solution_min,solution_max,max_bv_exponent_argument,exponential_clamp_active
single_junction_mixed,0.0001,5e-06,0.05,2701,5184,7,0.12266818556100816,0.0133185290235575,0.02546479089470326,0.5230174117128834,5.131021836807132e-05,6.0,1.297920104725847e-14,Newton,True,-0.19962170609001467,0.15035568141341507,33.220552427262916,False
single_junction_mixed,1e-05,5.000000000000001e-07,0.05,5151,10000,10,0.1800448356007615,0.015638495719317774,0.02546479089470326,0.6141222908125517,6.552178769242586e-06,6.0,1.213356645458934e-13,Newton,True,-0.19995628631978182,0.1943538738624544,33.248366081763464,False
single_junction_mixed,1e-06,5e-08,0.05,8385,16384,13,0.2387568145774178,0.017281794514628405,0.02546479089470326,0.6786544836000621,6.601335164069619e-07,6.0,1.1141838096334058e-12,Newton,True,-0.19999542945572205,0.19952708662815064,33.251620050654175,False
single_junction_mixed,1.3e-07,1e-08,0.07692307692307693,11175,21904,22,0.2948704964643189,0.01859709207205353,0.02546479089470326,0.7303060978962043,8.593630355930632e-08,1.0,6.608155639353797e-08,L-BFGS-B,False,-0.19999940297631819,0.19993997808054362,33.25195036942133,False
