source_key,source_label,benchmark,base_benchmark,junction_count,geometry,mesh_strategy,kappa,h_min,num_nodes,num_triangles,phi_a,phi_c,ia0,ic0,a1,a2,c1,c2,energy,normalized_energy,exact_energy_constant,exact_constant_ratio,boundary_error_l2_sq,boundary_rate_ratio,iterations,residual_inf,initial_residual_inf,certified_threshold,accepted_step,solver,certified,solution_min,solution_max,max_bv_exponent_argument,exponential_clamp_active
stainless_zro2,ZrO2-coated stainless steel,practical_stainless_zro2_corrugated_six_junction_mixed,corrugated_six_junction_mixed,6,corrugated_top,graded,1.0,7.5e-08,44826,88084,-0.58,-0.07,1.016770186335404,1.0,9.475658818905538,9.475658818905538,12.721464602177049,12.721464602177049,0.023323109950243285,0.023323109950243285,0.24837720418921186,nan,0.0011579215373298678,nan,5.0,2.441064228070697e-12,0.28362729317478075,1e-09,1.0,Newton,True,-0.29933609889627355,-0.24952638650008283,3.1314552101760698,False
stainless_zro2,ZrO2-coated stainless steel,practical_stainless_zro2_corrugated_six_junction_mixed,corrugated_six_junction_mixed,6,corrugated_top,graded,0.1,7.5e-08,44826,88084,-0.58,-0.07,1.016770186335404,1.0,9.475658818905538,9.475658818905538,12.721464602177049,12.721464602177049,0.1574958852831354,0.06839959390093328,0.24837720418921186,0.27538595630872387,0.0007148900090840652,0.003104727861129751,5.0,1.2465809634543135e-11,0.02741601772742222,1e-09,1.0,Newton,True,-0.3750042494911525,-0.17580554929727882,3.8801007634152738,False
stainless_zro2,ZrO2-coated stainless steel,practical_stainless_zro2_corrugated_six_junction_mixed,corrugated_six_junction_mixed,6,corrugated_top,graded,0.01,7.5e-08,44826,88084,-0.58,-0.07,1.016770186335404,1.0,9.475658818905538,9.475658818905538,12.721464602177049,12.721464602177049,0.5665225004819546,0.12301879791667263,0.24837720418921186,0.49529021118603883,0.0001795179773390237,0.00389818334803855,1.0,1.4871452607562174e-08,1.4893882356592503e-08,1e-09,-1.0,L-BFGS-B,False,-0.5061863205557022,-0.09339001330554052,5.548928836903217,False
stainless_zro2,ZrO2-coated stainless steel,practical_stainless_zro2_corrugated_six_junction_mixed,corrugated_six_junction_mixed,6,corrugated_top,graded,0.001,7.5e-08,44826,88084,-0.58,-0.07,1.016770186335404,1.0,9.475658818905538,9.475658818905538,12.721464602177049,12.721464602177049,1.1308485089796825,0.16370708910613202,0.24837720418921186,0.6591067390444624,1.9747913767789773e-05,0.0028588033261507844,6.0,2.5391109931847933e-12,0.24723490866649467,1e-09,1.0,Newton,True,-0.5709862406301572,-0.07253921412957788,6.373278726354299,False
stainless_zro2,ZrO2-coated stainless steel,practical_stainless_zro2_corrugated_six_junction_mixed,corrugated_six_junction_mixed,6,corrugated_top,graded,0.0001,7.5e-08,44826,88084,-0.58,-0.07,1.016770186335404,1.0,9.475658818905538,9.475658818905538,12.721464602177049,12.721464602177049,1.7054323645401175,0.18516496629474702,0.24837720418921186,0.7454990360294488,1.9750942930158157e-06,0.002144431381738433,6.0,2.0769620145879735e-12,0.29405392794380786,1e-09,1.0,Newton,True,-0.5791209310536928,-0.0702551035972303,6.476763902626975,False
stainless_zro2,ZrO2-coated stainless steel,practical_stainless_zro2_corrugated_six_junction_mixed,corrugated_six_junction_mixed,6,corrugated_top,graded,3e-05,7.5e-08,44826,88084,-0.58,-0.07,1.016770186335404,1.0,9.475658818905538,9.475658818905538,12.721464602177049,12.721464602177049,2.0076613954499876,0.19277904951220812,0.24837720418921186,0.7761543582129643,5.960661889364907e-07,0.0019078428532148927,5.0,1.9097506367286795e-12,0.0760374003162025,1e-09,1.0,Newton,True,-0.5797381335524604,-0.07007654080812059,6.484615622367422,False
stainless_zro2,ZrO2-coated stainless steel,practical_stainless_zro2_corrugated_six_junction_mixed,corrugated_six_junction_mixed,6,corrugated_top,graded,1e-05,7.5e-08,44826,88084,-0.58,-0.07,1.016770186335404,1.0,9.475658818905538,9.475658818905538,12.721464602177049,12.721464602177049,2.2901044769986707,0.19891594746849103,0.24837720418921186,0.8008623340367355,2.037142726693996e-07,0.0017694396901050933,1.0,4.303178593317858e-08,4.3031809282556566e-08,1e-09,-1.0,L-BFGS-B,False,-0.5799129430872821,-0.07002551529700822,6.4868394556767806,False
stainless_zro2,ZrO2-coated stainless steel,practical_stainless_zro2_corrugated_six_junction_mixed,corrugated_six_junction_mixed,6,corrugated_top,graded,3e-06,7.5e-08,44826,88084,-0.58,-0.07,1.016770186335404,1.0,9.475658818905538,9.475658818905538,12.721464602177049,12.721464602177049,2.6296264697992267,0.20678206384242526,0.24837720418921186,0.8325323755754181,6.80700128836857e-08,0.001784240450310507,5.0,1.611612788563872e-12,0.14758042445775782,1e-09,1.0,Newton,True,-0.5799739101820834,-0.07000765491780128,6.4876150464151925,False
stainless_zro2,ZrO2-coated stainless steel,practical_stainless_zro2_corrugated_six_junction_mixed,corrugated_six_junction_mixed,6,corrugated_top,graded,1e-06,7.5e-08,44826,88084,-0.58,-0.07,1.016770186335404,1.0,9.475658818905538,9.475658818905538,12.721464602177049,12.721464602177049,3.0357745140843186,0.2197366866282242,0.24837720418921186,0.8846894277013863,3.0743502838215646e-08,0.0022252889395023364,5.0,1.85475243762979e-12,0.2458199694513025,1e-09,1.0,Newton,True,-0.5799913061460149,-0.07000255168848692,6.487836348554566,False
stainless_zro2,ZrO2-coated stainless steel,practical_stainless_zro2_corrugated_six_junction_mixed,corrugated_six_junction_mixed,6,corrugated_top,graded,5e-07,7.5e-08,44826,88084,-0.58,-0.07,1.016770186335404,1.0,9.475658818905538,9.475658818905538,12.721464602177049,12.721464602177049,3.4230099773253464,0.2359287839726465,0.24837720418921186,0.9498809874392408,2.2282170329367116e-08,0.0030715688151085434,1.0,2.1385138104790258e-10,2.1385149207020504e-10,1e-09,-1.0,L-BFGS-B,True,-0.5799956534285982,-0.07000127585244546,6.487891652356065,False
